Platform,Type,ID,Text,URL,Parent_Post_URL,Parent_Post_ID,Sentiment,Date,likes,shares,comments_count,views,sentiment_score,total_engagement,engagement_score,author,author_followers
x,post,1487222839891861504,"Fundraising Pilihan Raya Johor 2022 MUDA sudah MULA!

Setiap ringgit &amp; sen yang dibelanjakan adalah 100% untuk memastikan MUDA menang PRN. 

Rekod perbelanjaan juga terbuka untuk orang awam. 

Bantu sini: https://t.co/p9A46995nk

SHARE &amp; RT! https://t.co/sV7kWYLnW1",https://x.com/partimuda/status/1487222839891861504,,,neutral,2022-01-29T00:35:30+00:00,204,157,29,0,0.0,390,605.0,,
x,comment,1487338958702854144,@partimuda MUDA perlu jelaskan gabungan yg akan disertai ataupun bergerak bebas untuk lebih adil kepada bakal penderma. Rakyat semakin sensatif dalam isu derma kerana akhirnya “perjuangan” lebih kepada menjadi “kerajaan” demi kuasa dan sokongan.,,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643444215000,5,0,1,0,0.0,8,,anuar,0.0
x,comment,1487280845249740802,@partimuda Reveal dulu nak join group mana ? Sedap kutip duit dulu. 🤣,,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643430360000,4,0,0,0,0.0,4,,Mhd Shamin,0.0
x,comment,1487406485647011844,@partimuda Roger kalau nak https://t.co/0Hp8Z2HH2r,,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643460315000,3,0,0,0,0.0,3,,JeBad,0.0
x,comment,1487299200022810627,@partimuda Kenapa perlu kutip duit awam utk kepentingan politik MUDA?,,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643434736000,1,1,1,0,0.0,6,,Zul Aziz,0.0
x,comment,1487228510284677129,@partimuda @akie_stark member saya @f4kr0ls00d nak sumbang kerusi utk ditumbangkan,,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643417882000,3,0,1,0,0.0,6,,Nazrin Latiff,0.0
x,comment,1487412222619910145,@partimuda Berapa banyak terbuka kalau tweet pun xberani nak reply?..minta duit rakyat untuk menang?..ni suara muda ke suara mengemis ?..,,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643461683000,2,0,1,0,0.0,5,,Barbarossa X,0.0
x,comment,1487245770281857025,"@partimuda No, thanks",,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643421997000,2,0,1,0,0.0,5,,SAI,0.0
x,comment,1487291900667187201,"@partimuda Reveal dulu nak join group mana? Take termasuk jentera lagi. Nak tgk polisi apa korg akan push sebelum derma, Sedap kutip duit dulu. @SyedSaddiq @DrThanussha @DrMathen #PRNJohor",,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643432996000,1,0,0,0,0.0,1,,10n@,0.0
x,comment,1487252474100871169,@partimuda Duit dalam gobok aritu dah habis?,,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643423596000,1,0,0,0,0.0,1,,DindaAlin,0.0
x,comment,1487250801118511105,@partimuda Warlord surat amaran dah mampus ke belum?,,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643423197000,1,0,0,0,0.0,1,,Will of The Pok²,0.0
x,comment,1487260495501750275,@partimuda Advance sikit la x pakai tin milo kikiki,,https://x.com/partimuda/status/1487222839891861504,1487222839891861504,neutral,1643425508000,1,0,0,0,0.0,1,,man 🇲🇾,0.0
